Uma AALTONEN,23752
Damien ABAD,96850
Claudette ABELA BALDACCHINO,118860
Jean-Pierre ABELIN,1829
Victor ABENS,1802
William ABITBOL,4361
Carlos ABOIM INGLEZ,1680
Gérard d'ABOVILLE,2202
Lars ADAKTUSSON,124990
Gordon J. ADAM,1427
Adamos ADAMOU,28469
Dimitrios ADAMOU,1765
Magdalena ADAMOWICZ,197490
Asim ADEMOV,189525
János ÁDER,96659
Isabella ADINOLFI,124831
Matteo ADINOLFI,197826
Pietro ADONNINO,957
Filip ADWENT,28302
Magda G.H. AELVOET,1950
Jochen van AERSSEN,1797
Marco AFFRONTE,124797
Alejandro AGAG LONGO,4315
Laura AGEA,124811
Alex AGIUS SALIBA,197403
Maria Adelaide AGLIETTA,1114
Susanna AGNELLI,943
John Stuart AGNEW,96897
Vittorio AGNOLETTO,28975
Mazaly AGUILAR,198096
Clara AGUILERA,125045
Luis Marco AGUIRIANO NALDA,26898
Nuala AHERN,2230
Birgitta AHLQVIST,2129
Heinrich AIGNER,1762
Sylviane H. AINARDI,1133
Scott AINSLIE,197696
Vincenzo AITA,36583
Daniela AIUTO,124842
Tim AKER,99650
Alexandros ALAVANOS,1461
Siegbert ALBER,1271
Willem ALBERS,927
Gabriele ALBERTINI,28367
Marina ALBIOL GUZMÁN,125048
Jan Philipp ALBRECHT,96736
Blaise ALDO,2019
Mechthild von ALEMANN,942
Jean-Marie ALEXANDRE,1170
Alexander ALEXANDROV YORDANOV,197836
Georgios ALEXIADIS,950
Sonia ALFANO,97086
Nicolas ALFONSI,951
François ALFONSI,96750
Nedzhmi ALI,34250
Atidzhe ALIEVA-VELI,197848
Louis ALIOT,30190
Magdi Cristiano ALLAM,96992
Christian ALLARD,197644
Claude J.E. ALLEGRE,1171
Michèle ALLIOT-MARIE,1179
Jim ALLISTER,28512
Teresa ALMEIDA GARRETT,4451
Rui Manuel ALMEIDA MENDES,1813
Giorgio ALMIRANTE,1478
Abir AL SAHLANI,197400
Magdalena ALVAREZ,97024
José María ALVAREZ DE EULATE PEÑARANDA,1795
José ÁLVAREZ DE PAZ,1359
Alexander Nuno PICKART ALVARO,28246
Luís Paulo ALVES,96976
Konstantinos ALYSSANDRAKIS,4509
Giuseppe AMADEI,1790
Amedeo AMADEO,2035
Rui AMARAL,1380
Álvaro AMARO,197746
Werner AMBERG,1827
Gianfranco AMENDOLA,1134
Giorgio AMENDOLA,928
Andris AMERIKS,197783
László A. NAGY,23867
Roberta Alma ANASTASE,33964
Georgios ANASTASSOPOULOS,1462
Hedy d'ANCONA,1432
Ettore Giovanni ANDENNA,1828
Amelia ANDERSDOTTER,108570
Bent Hindrup ANDERSEN,23645
Christine ANDERSON,197475
Lucy ANDERSON,124949
Martina ANDERSON,113959
Axel ANDERSSON,2105
Max ANDERSSON,124994
Jan ANDERSSON,2107
Ole ANDREASEN,4441
Marta ANDREASEN,96954
Georgs ANDREJEVS,28620
Anne ANDRÉ-LÉONARD,1817
Josefa ANDRÉS BAREA,96986
Rasmus ANDRESEN,197448
Niall ANDREWS,1441
Alfonso ANDRIA,28363
Generoso ANDRIA,5918
Eric ANDRIEU,113892
Laima Liucija ANDRIKIENĖ,28276
Mathilde ANDROUËT,197691
Nikos ANDROULAKIS,125110
Emmanouil ANGELAKAS,39316
Roberta ANGELILLI,1941
Didier H.M.F. ANGER,1083
Magdeleine ANGLADE,1772
Charalampos ANGOURAKIS,99419
Gerolf ANNEMANS,124973
Julio AÑOVEROS TRIAS de BES,2004
Gustave ANSART,936
Andrus ANSIP,124696
Vincent F.M. ANSQUER,937
Antonello ANTINORO,97193
Rapisardo ANTINUCCI,72723
Alin Lucian ANTOCHI,95280
Elena Oana ANTONESCU,96702
Alfredo ANTONIOZZI,28422
Dario ANTONIOZZI,1789
Bernard ANTONY,1209
Sirkka-Liisa ANTTILA,2296
Pedro APARICIO SÁNCHEZ,2006
José APOLINÁRIO,1874
Attila ARA-KOVÁCS,197587
María Jesús ARAMBURU DEL RÍO,1971
Víctor Manuel ARBELOA MURU,1360
Aline ARCHIMBAUD,1869
Javier AREITIO TOLEDO,1884
Maria ARENA,124936
Gaetano ARFE',938
Pedro ARGÜELLES SALAVERRIA,1826
Stelios ARGYROS,2184
Miguel ARIAS CAÑETE,1351
Pablo ARIAS ECHEVERRÍA,96808
Kader ARIF,28137
Pascal ARIMONT,24922
Pino ARLACCHI,97228
Bartosz ARŁUKOWICZ,197492
Clotilde ARMAND,197664
Stavros ARNAOUTAKIS,28578
Marie-Christine ARNAUTU,124748
Rudi ARNDT,1786
Jonathan ARNOTT,124958
Aldo ARRONI,2033
Kriton ARSENIS,97009
Jean ARTHUIS,124773
Konstantinos ARVANITIS,197701
Per-Arne ARVIDSSON,4269
Richard ASHWORTH,28132
Anna-Michelle ASIMAKOPOULOU,197695
Francisco ASSIS,28307
